Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper cordulatum,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Markea,Markea panamensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,Vismia baccifera,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Solanum,Solanum hayesii,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Markea,Markea panamensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia insignis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,Cecropia insignis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Solanum,,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Malvaceae,Quararibea,Quararibea asterolepsis,
Primary  ,33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,Plant,,,Hypericaceae,Vismia,Vismia baccifera,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,Plant,,,Piperaceae,Piper,Piper pseudofuligineum,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,Plant,,,Piperaceae,Piper,Piper amalago,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper pseudofuligineum,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Piperaceae,Piper,Piper amalago,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper amalago,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus morazaniana,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus toltecus,Plant,,,Moraceae,Brosimum,Brosimum alicastrum,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus toltecus,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus toltecus,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Brosimum,Brosimum alicastrum,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,Vismia baccifera,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Muntingiaceae,Muntingia,Muntingia calabura,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia peltata,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus toltecus,Plant,,,Piperaceae,Piper,Piper amalago,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus ovalis,
Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia peltata,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Pseudobombax,Pseudobombax septenatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris brachyotis,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Hypericaceae,Vismia,,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Moraceae,Poulsenia,Poulsenia armata,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Arecaceae,Astrocaryum,Astrocaryum standleyanum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper marginatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Clusia,Clusia odorata,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Urticaceae,Cecropia,Cecropia obtusifolia,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Moraceae,Ficus,Ficus obtusifolia,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Salicaceae,Tetrathylacium,Tetrathylacium johansenii,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Markea,Markea panamensis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper carrilloanum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,Fruit,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma villosum,Plant,,,Moraceae,Ficus,Ficus popenoei,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma trinitatum,Plant,,,Moraceae,Ficus,Ficus popenoei,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,Fruit,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Solanum,Solanum hayesii,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper cordulatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper reticulatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper aequale,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,C,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Cyclanthaceae,Carludovica,Carludovica palmata,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia exima,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Cassia,Cassia undulata,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,Ficus yoponensis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper aequale,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper reticulatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,Cecropia exima,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Centurio,Centurio senex,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper cordulatum,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Bromeliaceae,Aechmea,Aechmea tillandsioides,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae,
